IntID,ExtID,Type,Longitude,Latitude,uuid
204,10195,B,32.18673900,-28.31677000,18696D87-45C7-E611-AFEB-00505698216F
205,10196,B,32.18819600,-28.31529200,19696D87-45C7-E611-AFEB-00505698216F
206,10197,B,32.18920300,-28.31464600,1A696D87-45C7-E611-AFEB-00505698216F
207,10198,B,32.18981700,-28.31464400,1B696D87-45C7-E611-AFEB-00505698216F
208,10199,B,32.22322000,-28.33113400,1C696D87-45C7-E611-AFEB-00505698216F
209,10200,B,32.18730700,-28.31594600,1D696D87-45C7-E611-AFEB-00505698216F
210,10202,B,32.22490900,-28.33032500,1E696D87-45C7-E611-AFEB-00505698216F
211,10203,B,32.22532500,-28.32974100,1F696D87-45C7-E611-AFEB-00505698216F
212,10204,B,32.22579400,-28.32906800,20696D87-45C7-E611-AFEB-00505698216F
213,10205,B,32.22609200,-28.32856100,21696D87-45C7-E611-AFEB-00505698216F
214,10206,B,32.22719400,-28.32834500,22696D87-45C7-E611-AFEB-00505698216F
215,10351,B,32.20514100,-28.31893900,23696D87-45C7-E611-AFEB-00505698216F
216,10352,B,32.20488900,-28.31955100,24696D87-45C7-E611-AFEB-00505698216F
217,10353,B,32.20335500,-28.32061200,25696D87-45C7-E611-AFEB-00505698216F
218,10354,B,32.20242500,-28.32140100,26696D87-45C7-E611-AFEB-00505698216F
219,10355,B,32.19980000,-28.32205200,27696D87-45C7-E611-AFEB-00505698216F
220,10356,B,32.20112800,-28.32399400,28696D87-45C7-E611-AFEB-00505698216F
221,10357,B,32.19341400,-28.32166500,29696D87-45C7-E611-AFEB-00505698216F
222,10990,B,32.05295700,-28.28906000,2A696D87-45C7-E611-AFEB-00505698216F
223,10991,B,32.05199600,-28.28900200,2B696D87-45C7-E611-AFEB-00505698216F
224,10992,B,32.05145400,-28.29033200,2C696D87-45C7-E611-AFEB-00505698216F
225,10993,B,32.05199600,-28.29109300,2D696D87-45C7-E611-AFEB-00505698216F
226,10998,B,32.04750900,-28.29203700,2E696D87-45C7-E611-AFEB-00505698216F
227,11000,B,32.04666900,-28.29174300,2F696D87-45C7-E611-AFEB-00505698216F
228,11003,B,32.03903200,-28.29396900,30696D87-45C7-E611-AFEB-00505698216F
229,16165,B,32.12129900,-28.37027800,31696D87-45C7-E611-AFEB-00505698216F
230,16166,B,32.12215400,-28.37075100,32696D87-45C7-E611-AFEB-00505698216F
231,16167,B,32.07904600,-28.42735300,33696D87-45C7-E611-AFEB-00505698216F
232,16168,B,32.09344700,-28.43097700,34696D87-45C7-E611-AFEB-00505698216F
233,16170,B,32.09466000,-28.43099500,35696D87-45C7-E611-AFEB-00505698216F
234,16171,B,32.09105200,-28.43258700,36696D87-45C7-E611-AFEB-00505698216F
235,16172,B,32.07251500,-28.42165300,37696D87-45C7-E611-AFEB-00505698216F
236,16173,B,32.07231300,-28.42235400,38696D87-45C7-E611-AFEB-00505698216F
237,16174,B,32.07112300,-28.42226000,39696D87-45C7-E611-AFEB-00505698216F
238,16175,B,32.08759200,-28.40548000,3A696D87-45C7-E611-AFEB-00505698216F
239,16176,B,32.08964400,-28.40495400,3B696D87-45C7-E611-AFEB-00505698216F
240,16177,B,32.09015900,-28.40417000,3C696D87-45C7-E611-AFEB-00505698216F
241,16178,B,32.09385500,-28.40588100,3D696D87-45C7-E611-AFEB-00505698216F
243,16180,B,32.09469500,-28.40497100,3F696D87-45C7-E611-AFEB-00505698216F
244,16182,B,32.09548400,-28.40469400,40696D87-45C7-E611-AFEB-00505698216F
245,16183,B,32.09575100,-28.40454300,41696D87-45C7-E611-AFEB-00505698216F
246,16184,B,32.08957500,-28.43303200,42696D87-45C7-E611-AFEB-00505698216F
247,16185,B,32.09158900,-28.43194100,43696D87-45C7-E611-AFEB-00505698216F
248,16186,B,32.07462100,-28.39762000,44696D87-45C7-E611-AFEB-00505698216F
249,16188,B,32.08753000,-28.42873400,45696D87-45C7-E611-AFEB-00505698216F
250,16189,B,32.08833800,-28.42848800,46696D87-45C7-E611-AFEB-00505698216F
251,16190,B,32.08652300,-28.42939600,47696D87-45C7-E611-AFEB-00505698216F
252,16191,B,32.09115500,-28.42734200,48696D87-45C7-E611-AFEB-00505698216F
253,16192,B,32.09080000,-28.42711700,49696D87-45C7-E611-AFEB-00505698216F
