IntID,ExtID,Type,Longitude,Latitude,uuid,cluster
133,10111,B,32.202543,-28.33791,d2686d87-45c7-e611-afeb-00505698216f,1600
134,10113,B,32.201273,-28.337386,d3686d87-45c7-e611-afeb-00505698216f,4875
135,10114,B,32.21235,-28.345068,d4686d87-45c7-e611-afeb-00505698216f,3396
136,10116,B,32.21269,-28.344784,d5686d87-45c7-e611-afeb-00505698216f,3395
138,10119,B,32.2138,-28.34322,d6686d87-45c7-e611-afeb-00505698216f,3395
139,10121,B,32.214396,-28.342407,d7686d87-45c7-e611-afeb-00505698216f,3394
140,10122,B,32.214411,-28.341598,d8686d87-45c7-e611-afeb-00505698216f,3393
141,10123,B,32.214511,-28.34098,d9686d87-45c7-e611-afeb-00505698216f,3393
142,10124,B,32.214625,-28.341243,da686d87-45c7-e611-afeb-00505698216f,3394
143,10125,B,32.215316,-28.341102,db686d87-45c7-e611-afeb-00505698216f,3394
144,10126,B,32.215914,-28.340182,dc686d87-45c7-e611-afeb-00505698216f,3394
145,10131,B,32.217715,-28.338939,dd686d87-45c7-e611-afeb-00505698216f,1618
146,10132,B,32.217189,-28.338439,de686d87-45c7-e611-afeb-00505698216f,1616
147,10133,B,32.217597,-28.337634,df686d87-45c7-e611-afeb-00505698216f,1616
148,16843,B,32.142944,-28.429402,e0686d87-45c7-e611-afeb-00505698216f,8
149,10135,B,32.218692,-28.337573,e1686d87-45c7-e611-afeb-00505698216f,1617
150,10136,B,32.219023,-28.337285,e2686d87-45c7-e611-afeb-00505698216f,1617
151,11401,B,32.160367,-28.423353,e3686d87-45c7-e611-afeb-00505698216f,493
152,10138,B,32.219485,-28.337054,e4686d87-45c7-e611-afeb-00505698216f,1617
153,10139,B,32.219378,-28.336913,e5686d87-45c7-e611-afeb-00505698216f,1617
154,10140,B,32.219653,-28.33631,e6686d87-45c7-e611-afeb-00505698216f,1618
155,10141,B,32.220145,-28.336341,e7686d87-45c7-e611-afeb-00505698216f,1618
156,10142,B,32.219702,-28.336762,e8686d87-45c7-e611-afeb-00505698216f,1617
157,10144,B,32.161843,-28.340599,e9686d87-45c7-e611-afeb-00505698216f,1519
158,10145,B,32.178418,-28.339452,ea686d87-45c7-e611-afeb-00505698216f,3438
159,10146,B,32.178338,-28.338696,eb686d87-45c7-e611-afeb-00505698216f,3438
160,10147,B,32.179902,-28.339314,ec686d87-45c7-e611-afeb-00505698216f,3438
161,10148,B,32.221293,-28.333211,ed686d87-45c7-e611-afeb-00505698216f,1619
162,10149,B,32.223777,-28.332129,ee686d87-45c7-e611-afeb-00505698216f,1619
163,10150,B,32.217852,-28.333667,ef686d87-45c7-e611-afeb-00505698216f,1614
164,10152,B,32.215781,-28.334618,f0686d87-45c7-e611-afeb-00505698216f,1615
165,10153,B,32.215838,-28.334145,f1686d87-45c7-e611-afeb-00505698216f,1611
166,10154,B,32.215071,-28.334433,f2686d87-45c7-e611-afeb-00505698216f,1610
167,10155,B,32.214251,-28.334622,f3686d87-45c7-e611-afeb-00505698216f,1610
168,10156,B,32.213957,-28.335648,f4686d87-45c7-e611-afeb-00505698216f,1608
170,10158,B,32.214789,-28.336674,f6686d87-45c7-e611-afeb-00505698216f,1609
171,10159,B,32.215033,-28.336947,f7686d87-45c7-e611-afeb-00505698216f,1609
172,10160,B,32.215758,-28.336419,f8686d87-45c7-e611-afeb-00505698216f,1609
173,10161,B,32.209226,-28.335103,f9686d87-45c7-e611-afeb-00505698216f,1603
175,10163,B,32.20762,-28.335572,fb686d87-45c7-e611-afeb-00505698216f,1602
176,10164,B,32.207975,-28.335145,fc686d87-45c7-e611-afeb-00505698216f,1603
177,10165,B,32.206491,-28.33611,fd686d87-45c7-e611-afeb-00505698216f,1601
178,10166,B,32.144683,-28.347719,fe686d87-45c7-e611-afeb-00505698216f,3283
179,10167,B,32.144477,-28.34676,ff686d87-45c7-e611-afeb-00505698216f,3277
180,10168,B,32.144752,-28.346153,00696d87-45c7-e611-afeb-00505698216f,3277
181,10169,B,32.154461,-28.342964,01696d87-45c7-e611-afeb-00505698216f,1511
182,10170,B,32.154297,-28.343105,02696d87-45c7-e611-afeb-00505698216f,1511
183,10171,B,32.180985,-28.337283,03696d87-45c7-e611-afeb-00505698216f,3437
184,10172,B,32.180298,-28.337949,04696d87-45c7-e611-afeb-00505698216f,3437
185,10173,B,32.180348,-28.33853,05696d87-45c7-e611-afeb-00505698216f,3437
186,10174,B,32.206098,-28.335681,06696d87-45c7-e611-afeb-00505698216f,1601
187,10177,B,32.204721,-28.333392,07696d87-45c7-e611-afeb-00505698216f,3411
188,10178,B,32.203912,-28.333176,08696d87-45c7-e611-afeb-00505698216f,3413
189,10179,B,32.203718,-28.333634,09696d87-45c7-e611-afeb-00505698216f,3413
190,10180,B,32.203371,-28.332404,0a696d87-45c7-e611-afeb-00505698216f,3413
191,10181,B,32.18108,-28.338851,0b696d87-45c7-e611-afeb-00505698216f,3437
