cluster,longitude,latitude
10,32.160512,-28.435297
10,32.16046,-28.436291
11,32.159634,-28.434975
11,32.158621,-28.435149
11,32.15939535,-28.4347184
11,32.158543,-28.435006
11,32.158539,-28.434683
11,32.158856,-28.434949
11,32.15905547,-28.43465775
11,32.159176,-28.43505
11,32.159749,-28.434598
11,32.158726,-28.434498
12,32.159367,-28.434298
12,32.158661,-28.434199
12,32.15849,-28.434086
12,32.158831,-28.434156
12,32.159962,-28.433766
12,32.159733,-28.433604
12,32.15936,-28.43393
12,32.158555,-28.43323
12,32.158715,-28.432961
12,32.158979,-28.432827
13,32.160248,-28.433033
13,32.1636273,-28.43354447
13,32.160328,-28.435248
13,32.160424,-28.434031
13,32.160531,-28.4336
13,32.160679,-28.433037
13,32.16369968,-28.43274426
13,32.16397082,-28.43288722
13,32.16368188,-28.43363327
13,32.16403599,-28.43305344
14,32.16414019,-28.43309021
14,32.16416219,-28.43315509
14,32.16433981,-28.43335099
14,32.164429,-28.432781
14,32.16467642,-28.43337726
14,32.16471121,-28.43319595
14,32.16439178,-28.43285309
14,32.16450985,-28.43319481
14,32.16483931,-28.43330592
14,32.1649448,-28.433374
15,32.165242,-28.433031
15,32.16525126,-28.43347625
15,32.165357,-28.432786
15,32.165283,-28.432903
15,32.165357,-28.432795
15,32.165705,-28.432756
15,32.16571816,-28.43273049
15,32.165652,-28.433035
15,32.165784,-28.432803
15,32.16574,-28.432941
16,32.166203,-28.432869
16,32.166928,-28.432782
16,32.166238,-28.432931
16,32.166949,-28.433001
16,32.168157,-28.432965
16,32.167055,-28.432749
16,32.168243,-28.433122
16,32.168256,-28.433339
16,32.168406,-28.432841
16,32.168217,-28.432732
17,32.168433,-28.433372
17,32.168669,-28.433381
17,32.168829,-28.432862
17,32.168688,-28.433413
17,32.168475,-28.43298
17,32.168755,-28.432972
17,32.168663,-28.433042
17,32.168976,-28.433362
17,32.168957,-28.432723
17,32.168866,-28.432982
18,32.168988,-28.432982
18,32.169087,-28.432723
18,32.169106,-28.433352
18,32.169125,-28.432972
18,32.169224,-28.432732
18,32.169495,-28.433012
18,32.169575,-28.432822
18,32.169534,-28.433137
18,32.169537,-28.432911
18,32.169617,-28.432723
19,32.15873,-28.432396
19,32.158589,-28.431468
19,32.15872906,-28.43161858
19,32.1587,-28.432679
19,32.15852217,-28.43197344
19,32.158932,-28.431828
19,32.159062,-28.432499
19,32.15903289,-28.43147539
19,32.159363,-28.432665
19,32.159371,-28.431982
20,32.160132,-28.431748
20,32.160412,-28.431517
20,32.160534,-28.431839
20,32.161769,-28.43187
20,32.161755,-28.432162
20,32.16086149,-28.43223477
20,32.160821,-28.432637
20,32.162037,-28.432202
20,32.162278,-28.432251
20,32.162556,-28.432292
21,32.162865,-28.432312
21,32.163216,-28.432223
21,32.163415,-28.432562
21,32.163605,-28.432223
21,32.163476,-28.432461
21,32.163537,-28.432362
21,32.163655,-28.432112
21,32.163716,-28.432011
21,32.163766,-28.431902
21,32.163786,-28.431464
22,32.16381,-28.432573
22,32.163815,-28.431813
22,32.163846,-28.431502
22,32.163876,-28.431693
22,32.163969,-28.432646
22,32.163994,-28.432421
22,32.164036,-28.432322
22,32.164086,-28.432211
22,32.164147,-28.432103
22,32.164197,-28.432421
23,32.164654,-28.432322
23,32.164788,-28.432353
23,32.164296,-28.432473
23,32.164628,-28.432621
23,32.164536,-28.432572
23,32.164406,-28.432522
23,32.164506,-28.432292
23,32.164387,-28.432202
23,32.164467,-28.432032
23,32.164944,-28.431992
24,32.164826,-28.431952
24,32.164517,-28.431902
24,32.164235,-28.431902
24,32.164654,-28.431872
24,32.164956,-28.431693
24,32.164845,-28.431653
24,32.164345,-28.431702
24,32.164395,-28.431601
24,32.164734,-28.431612
24,32.164445,-28.431523
25,32.165059,-28.432569
25,32.16507083,-28.43272117
25,32.165129,-28.432481
25,32.165845,-28.432312
25,32.165481,-28.432496
25,32.16548,-28.432626
25,32.165165,-28.432332
25,32.165547,-28.432242
